"table","variable","value","n","proportion"
"location_df","USCensusRegion","South",214150,0.411181684126448
"location_df","USCensusRegion","West",106572,0.204625049921661
"location_df","USCensusRegion","Northeast",100338,0.192655371570766
"location_df","USCensusRegion","Midwest",96277,0.184857992073976
"location_df","USCensusRegion",NA,3479,0.00667990230714878
"location_df","USCensusDivision","South Atlantic",125486,0.24094113852109
"location_df","USCensusDivision","Pacific",75387,0.144747857208688
"location_df","USCensusDivision","East North Central",68407,0.131345811188596
"location_df","USCensusDivision","Middle Atlantic",68320,0.13117876562932
"location_df","USCensusDivision","West South Central",61892,0.118836594881878
"location_df","USCensusDivision","New England",32018,0.0614766059414457
"location_df","USCensusDivision","Mountain",31185,0.0598771927129735
"location_df","USCensusDivision","West North Central",27870,0.0535121808853799
"location_df","USCensusDivision","East South Central",26772,0.0514039507234801
"location_df","USCensusDivision",NA,3479,0.00667990230714878
"location_df","NasemsoRegion","South",197423,0.379064775275721
"location_df","NasemsoRegion","East",117065,0.224772280421492
"location_df","NasemsoRegion","West",89976,0.172759669441799
"location_df","NasemsoRegion","Great Lakes",75062,0.144123836441277
"location_df","NasemsoRegion","Western Plains",37811,0.0725995361125618
"location_df","NasemsoRegion",NA,3479,0.00667990230714878
"location_df","Urbanicity","Urban",435067,0.835356440662345
"location_df","Urbanicity","Rural",33267,0.0638747657522042
"location_df","Urbanicity","Suburban",31601,0.0606759392952597
"location_df","Urbanicity",NA,15075,0.0289449632883782
"location_df","Urbanicity","Frontier",5806,0.0111478910018125
"event_df","dispatch_reason","Sick Person",92434,0.177479186507327
"event_df","dispatch_reason","Transfer/Interfacility/Palliative Care",76051,0.146022779638106
"event_df","dispatch_reason","Falls",46093,0.0885015053300974
"event_df","dispatch_reason","No Other Appropriate Choice",40998,0.0787187797609904
"event_df","dispatch_reason","Breathing Problem",40894,0.0785190931154189
"event_df","dispatch_reason","Chest Pain (Non-Traumatic)",26426,0.0507396086141747
"event_df","dispatch_reason","Traffic/Transportation Incident",26221,0.0503459955147307
"event_df","dispatch_reason","Unconscious/Fainting/Near-Fainting",21950,0.0421454025989985
"event_df","dispatch_reason","Abdominal Pain/Problems",15826,0.0303869312770729
"event_df","dispatch_reason","Psychiatric Problem/Abnormal Behavior/Suicide Attempt",15655,0.0300586003502197
"event_df","dispatch_reason","Unknown Problem/Person Down",14636,0.0281020552363983
"event_df","dispatch_reason","Convulsions/Seizure",13271,0.0254811680132715
"event_df","dispatch_reason","Traumatic Injury",12846,0.0246651408558877
